"ID",Sort Order,Procedure Name,Slug,Category,Category Label,Short Description,Full Description,Common Uses / Indications,Key Benefits,What To Expect,Sessions & Frequency,Downtime & Recovery,Clinical Considerations & Precautions,FAQs,Related Procedures,Hero Image URL,Added By (Name),Added By Clinic ID,Active Status
proc_prp_hair,11,PRP Hair Restoration Treatment,prp-hair-treatment,hair,Hair & Scalp Aesthetics,Autologous Platelet-Rich Plasma rich in growth factors to reverse hair thinning & stimulate follicles.,"Platelet-Rich Plasma (PRP) therapy utilizes your own blood’s concentrated platelets, rich in bioactive growth factors (PDGF, VEGF, TGF-beta). When injected into thinning areas of the scalp, it awakens dormant hair follicles, strengthens hair roots, and increases hair shaft diameter.","1. Early to moderate androgenetic alopecia (pattern hair loss)
2. Diffuse hair thinning and excessive shedding
3. Telogen effluvium (post-stress or illness hair fall)
4. Post-hair transplant graft nourishment","• 100% natural, using your body’s own healing platelets
• Clinically proven to reduce hair fall within 2–3 sessions
• Increases hair thickness and overall scalp density
• No risk of allergy or foreign body reaction",A small blood sample (15–20 ml) is drawn and spun in a specialized centrifuge to isolate the golden platelet-rich layer. The scalp is numbed with cooling spray and tiny micro-droplets are delivered into the scalp.,"Initial protocol of 4 sessions spaced 3 to 4 weeks apart, followed by maintenance every 4 to 6 months.",Zero to few hours of mild scalp tightness. You can wash your hair the following morning.,"• Stay well hydrated before your appointment
• Avoid anti-inflammatory pain medication 48 hours prior","Q: When will I start seeing hair growth?
A: Reduced hair shedding is typically noticed after 2 sessions. Visible new baby hair growth and thickening of existing strands appear around the 3rd to 4th month.","microneedling, skin-brightening",https://images.unsplash.com/photo-1527799820374-dcf8d9d4a388?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_tightening,12,Skin Tightening (HIFU & RF),skin-tightening,aesthetics,Anti-Aging & Facial Aesthetics,"High-Intensity Focused Ultrasound & Radiofrequency to lift jowls, tighten neck & firm skin.",Non-surgical skin tightening uses focused ultrasound energy (HIFU) or multi-polar radiofrequency (RF) to heat deep dermal and SMAS layers (the foundation layer tightened in surgical facelifts). This triggers immediate collagen contraction and long-term synthesis.,"1. Mild to moderate jowl sagging and jawline softening
2. Double chin reduction and neck tightening
3. Brow lifting and upper eyelid heaviness
4. Nasolabial fold lifting and cheek elevation","• Non-surgical facelift alternative with no incisions or scars
• Lifts and defines the lower face and jawline
• Collagen building continues for up to 6 months post-treatment
• Single-session treatment with results lasting 12–18 months","Ultrasound gel is applied to the target zones. The HIFU transducer delivers focused energy pulses at precise depths (1.5mm, 3.0mm, and 4.5mm). You will feel warm prickling pulses along the jawline and cheekbones.","Single session is usually sufficient, with annual maintenance.",Zero downtime. Mild tenderness along the jawline for a few days indicates active collagen remodeling.,• Best suited for mild to moderate skin laxity,"Q: How does HIFU compare to surgical facelifts?
A: HIFU is non-invasive, requires zero incisions or recovery time, and delivers natural, subtle lifting by stimulating your own collagen, making it ideal for preventative and moderate age-related laxity.","botox, dermal-fillers, microneedling",https://images.unsplash.com/photo-1512496015851-a90fb38ba796?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_medical_facial,13,Medical Facial,medical-facial,skin,Facial & Skin Rejuvenation,"Dermatologist-guided facial treatment using clinical cleansing, exfoliation and skin-conditioning steps.","A medical facial is a clinician-supervised skin treatment rather than a single standardized procedure. The protocol can combine cleansing, gentle exfoliation, extraction when appropriate, hydration and targeted topical products based on the patient's skin and goals.","1. Dull or tired-looking skin
2. Mild congestion
3. Dry or dehydrated skin
4. Short-term skin refresh before an event","• Removes superficial buildup
• Can improve temporary smoothness and hydration
• Protocol can be adapted to the patient's skin","Skin is assessed first. The face is cleansed and the selected exfoliation, extraction, infusion or soothing steps are performed. The final products are chosen to support the skin barrier.",Often performed as a single treatment; repeat frequency depends on the protocol and skin needs.,Usually little to no downtime; mild temporary redness can occur after exfoliation or extraction.,"• Tell the clinician about active skin conditions and current products
• Use gentle skincare and sunscreen after treatment
• Avoid aggressive exfoliation until the skin has recovered","Q: Is a medical facial the same as a salon facial?
A: Not necessarily. A medical facial is performed under clinical supervision and should be selected according to the patient's skin condition and goals.","hydrafacial, skin-brightening, chemical-peel",https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_skin_rejuvenation,14,Skin Rejuvenation,skin-rejuvenation,skin,Facial & Skin Rejuvenation,"An umbrella term for treatments that improve skin texture, tone, pigmentation, hydration or early signs of ageing.","Skin rejuvenation is not one procedure. Depending on the concern, a dermatologist may use chemical peels, microneedling, lasers, radiofrequency or other treatments to improve the appearance and quality of the skin.","1. Uneven tone or texture
2. Dullness or photodamage
3. Fine lines
4. Early loss of firmness","• Can target several visible signs of skin ageing
• Treatment can be tailored to skin type and concern
• Different modalities can be combined when clinically appropriate","The clinician assesses skin type, pigmentation, texture and goals before choosing a modality. Treatment experience and recovery depend on what is selected.",Varies widely by modality; some treatments are single-session while others are performed as a series.,Ranges from none to several days depending on the treatment selected.,"• A diagnosis and skin assessment should guide treatment selection
• Darker skin may have greater risk of pigment changes after some laser procedures
• Follow modality-specific aftercare","Q: What is the best skin-rejuvenation treatment?
A: There is no single best option. The appropriate treatment depends on the concern, skin type, desired result and tolerance for downtime.","medical-facial, chemical-peel, microneedling, laser-toning",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_glow_radiance,15,Glow / Radiance Treatment,glow-radiance-treatment,skin,Facial & Skin Rejuvenation,"Skin-refresh treatments aimed at improving the appearance of dullness, uneven tone and surface texture.","This is a treatment category rather than one standardized procedure. Depending on the patient's skin, a dermatologist may use gentle exfoliation, hydration, medical facial techniques or selected light/laser treatments to improve visible radiance.","1. Dull complexion
2. Mild uneven tone
3. Surface roughness
4. Pre-event skin refresh","• Can improve visible brightness and smoothness
• May improve temporary dehydration-related dullness
• Usually requires less recovery than aggressive resurfacing","The skin is assessed and the clinician chooses a low-irritation protocol. Cleansing, exfoliation and hydration are common components, but the exact steps vary.",Often one treatment for a short-term refresh; maintenance depends on the selected procedure.,Usually minimal; mild redness or sensitivity can occur depending on exfoliation or device used.,"• Persistent pigmentation should be assessed rather than treated as simple 'dullness'
• Use sunscreen consistently
• Avoid irritating products immediately after treatment","Q: Does a glow treatment permanently remove pigmentation?
A: No. It may improve the appearance of uneven tone, but persistent pigmentation needs diagnosis and a targeted treatment plan.","medical-facial, skin-brightening, chemical-peel",https://images.unsplash.com/photo-1515377905703-c4788e51af15?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_skin_hydration,16,Skin Hydration Treatment,skin-hydration-treatment,skin,Facial & Skin Rejuvenation,Treatments designed to improve skin hydration and support the skin barrier.,"Hydration treatments can use topical products, device-assisted delivery or injectable skin boosters depending on the clinical goal. They are intended to improve the appearance and feel of dehydrated skin rather than permanently change facial structure.","1. Dry or dehydrated skin
2. Tight or rough-feeling skin
3. Dehydration-related fine lines
4. Dull appearance","• Improves skin softness and hydration
• Can support the skin barrier
• May reduce the appearance of dehydration lines","The clinician identifies whether the issue is dryness, dehydration, barrier damage or another condition. Treatment may involve cleansing, hydrating actives and barrier-supportive products.","Depends on modality; topical/device-based treatments may be repeated every few weeks, while injectable boosters follow product-specific protocols.","Usually little to no downtime for non-injectable protocols; injectable boosters can cause temporary redness, swelling or bruising.","• Tell the clinician about active dermatitis or infection
• Avoid aggressive actives if the barrier is irritated
• Injectable treatments require medical assessment","Q: How long do hydration results last?
A: Results are generally temporary and depend on the treatment, skin condition and ongoing skincare.","hydrafacial, medical-facial, skin-boosters",https://images.unsplash.com/photo-1556228578-0d85b1a4d571?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_carbon_laser_peel,17,Carbon Laser Peel,carbon-laser-peel,skin,Facial & Skin Rejuvenation,Laser-based facial treatment using a carbon lotion followed by laser energy to refresh the skin.,"A carbon laser peel, often called a carbon facial, uses a carbon-containing lotion on the skin followed by laser passes. It is commonly marketed for oily skin, visible pores and dullness; results and suitability depend on the laser settings and the underlying concern.","1. Oily or congested skin
2. Dull appearance
3. Visible pores
4. Mild uneven texture","• Can temporarily improve surface smoothness and brightness
• May reduce surface oiliness
• Usually has limited recovery","The skin is cleansed, carbon lotion is applied and allowed to settle, then laser passes are performed with protective eyewear. A soothing product is usually applied afterward.","Often performed as a series, commonly spaced several weeks apart; exact number depends on the indication and response.",Usually minimal; temporary warmth or redness is possible.,"• Laser choice and settings should be individualized
• Darker skin can be more prone to post-inflammatory pigment changes after laser treatment
• Strict sun protection is important","Q: Does a carbon laser peel cause the same peeling as a chemical peel?
A: Usually no. It is primarily a laser-based treatment and typically causes much less visible peeling than a medium or deep chemical peel.","laser-toning, chemical-peel, hydrafacial",https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_laser_toning,18,Laser Toning,laser-toning,skin,Facial & Skin Rejuvenation,Low-fluence laser treatment used to target unwanted pigmentation and improve overall skin tone.,"Laser toning commonly uses low-fluence, short-pulsed Nd:YAG laser energy to target pigment with relatively low surface injury. It is used in selected cases of pigmentation and uneven tone, but treatment parameters and suitability are important because pigmentary complications can occur.","1. Selected facial hyperpigmentation
2. Uneven skin tone
3. Some sun-related pigmentation
4. Selected melasma protocols under specialist care","• Can reduce the appearance of selected pigmentation
• Usually has limited downtime when appropriately performed
• Can be used as part of a broader pigmentation plan",Protective eyewear is used and the laser is delivered in multiple passes. The treated skin may feel warm or mildly pink afterward.,Usually requires multiple sessions spaced weeks apart; the schedule depends on diagnosis and response.,Often minimal; temporary redness or warmth can occur.,"• Pigmentation must be diagnosed before treatment
• Melasma can recur and laser is not always first-line therapy
• Darker skin has increased risk of burns or post-inflammatory hyperpigmentation
• Sun protection is essential","Q: Is laser toning suitable for all pigmentation?
A: No. Different causes of pigmentation respond differently, and some conditions can worsen with aggressive laser treatment.","carbon-laser-peel, q-switched-ndyag-laser, pigmentation-treatment",https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_photo_facial_ipl,19,Photo Facial / IPL,photo-facial-ipl,skin,Facial & Skin Rejuvenation,Intense pulsed light treatment that targets selected pigment and vascular changes and can improve overall skin appearance.,"IPL uses a broad spectrum of non-coherent light rather than a single laser wavelength. Depending on the device and settings, it can target superficial brown pigment, redness and some photoaging changes.","1. Freckles and selected sun spots
2. Facial redness from superficial vessels
3. Uneven skin tone
4. Some photoaging changes","• Can improve selected pigment and redness
• Can create more even-looking skin tone
• Non-surgical treatment with relatively short recovery",Protective eyewear is used. Short pulses of light are delivered over the skin; treated pigment may temporarily darken before fading.,Often performed as a series of treatments several weeks apart; the exact course depends on the indication.,Usually mild redness and swelling for hours to a few days; pigmented spots may darken temporarily.,"• IPL is not suitable for every skin tone or every pigment disorder
• Recent tanning increases risk of burns/pigment changes
• Sun protection before and after treatment is important","Q: Is IPL the same as a laser?
A: No. IPL emits a broad range of light wavelengths, while a laser generally emits a specific wavelength.","laser-toning, pigmentation-treatment, chemical-peel",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_glycolic-acid-peel,20,Glycolic Acid Peel,glycolic-acid-peel,skin,Chemical Peels,Alpha-hydroxy-acid peel using glycolic acid to exfoliate the outer skin layers.,"Glycolic acid is an alpha-hydroxy acid (AHA) used in superficial chemical peels. Concentration, pH and contact time determine depth, so medical protocols should be individualized.","1. Dull complexion
2. Uneven texture
3. Mild acne or post-acne marks
4. Fine superficial lines","• Exfoliates superficial skin cells
• Can improve texture and brightness
• May help selected acne and pigment concerns","The skin is cleansed and the acid is applied for a controlled period, then neutralized or removed according to the formulation. Mild stinging is common.",Usually a series of superficial peels spaced a few weeks apart; exact protocol varies.,"Mild redness, dryness or flaking for a few days is possible.",• Avoid use on actively irritated or infected skin. Sun protection is essential. Stronger peels have greater risk of irritation and pigment change.,"Q: Is Glycolic Acid Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_salicylic-acid-peel,21,Salicylic Acid Peel,salicylic-acid-peel,skin,Chemical Peels,"Beta-hydroxy-acid peel particularly useful for oily, acne-prone and congested skin.",Salicylic acid is a lipophilic beta-hydroxy acid that penetrates into oily follicles and is commonly used in superficial peels for acne and comedonal congestion.,"1. Comedonal acne
2. Oily or congested skin
3. Post-acne marks
4. Rough texture","• Helps exfoliate inside and around follicles
• Can reduce comedonal congestion
• May improve superficial post-acne discoloration","The skin is prepared and the peel is applied for a controlled period. Mild tingling or stinging can occur, followed by dryness or light peeling.",Often performed as a series every few weeks; response and tolerance guide the schedule.,"Usually mild redness and dryness, with light peeling possible.",• Avoid on irritated/broken skin. Tell the clinician about aspirin/salicylate sensitivity and all active skincare. Use sunscreen.,"Q: Is Salicylic Acid Peel suitable for everyone?
A: No. Suitability depends on the diagnosis, skin type, active skin conditions and the depth of peel required. A dermatologist should select the formulation and strength.","chemical-peel, skin-rejuvenation, pigmentation-treatment",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
